id,planet,house,interpretation_text,short_interpretation
118,Pluto,10,You have an urge to discover the truth and perhaps change things for the better. You take an intense interest in other cultures and in different religions and philosophies. Travel and foreign people may affect you deeply. Good point: a desire for deeper understanding. Bad point: you try to impose your views on others.,"Unusual, difficult to understand, exiting to follow"
11,Sun,11,"You are socially popular, able to attract and keep friends. You usually benefit through their faith and support. You have high goals in life, and an optimism that wins others to your cause. Good point: idealistic and creative. Bad point: a tendency to be domineering with others.","Sociable, identity bound up with others’ needs"
23,Moon,11,Your easy social charm attracts admirers. At some time in your life your goals shift and friendships are likely to change. You have a flair for entertaining in your home. Good point: emotionally intuitive in dealing with people. Bad point: accessible to unreliable friends and scandal not of your making.,"Tolerant, helpful, permissive, needs friends"
35,Mercury,11,"You should have a large number of acquaintances, for you adapt yourself to a variety of different people. Your friendships tend to be based on an intellectual rapport. You are socially minded and usually become involved with groups, clubs, and societies. Good point: clever at thinking of ways to achieve your goals. Bad point: inclined to be impractical and/or cynical.","informative, keen on study groups"
47,Venus,11,"You are sociable and fond of people and usually have lots of friends. You will likely benefit from your associations in both a social and a monetary way. You are drawn to marry a friend or someone you meet through a group or association. Good point: a tactful, diplomatic touch with people. Bad point: you are likely to confuse friendship with love.",devoted to friends and harmonious communities
59,Mars,11,You actively involve yourself with friends and tend to be a leader in your circle. Your associations with others are likely to be based on mutual assistance or favors. You have definite goals and objectives in life that you energetically pursue. Good point: willingness to help or be responsible toward others. Bad point: you can be quarrelsome and argumentative.,"reel with causes, especially for the “underdog”"
71,Jupiter,11,"You are popular with others, and your associations bring you luck and happiness. You have high ideals and will likely gain your objectives. You know how to deal successfully with prominent and important people and will benefit from their influence. Good point: cooperative and generous with friends. Bad point: you rely on undependable or parasitical friends.","Has idealistic community spirit, wants to include and help everyone"
83,Saturn,11,"You form a few true and lasting friendships rather than cultivate many superficial acquaintances. You have high aspirations, but must often cope with mundane delays and obstacles. The discipline you learn early in life brings freedom later on. Good point: determination to reach objectives. Bad point: victimized by unscrupulous or selfish motives on the part of others.",Takes on too many responsibilities or seeks to avoid them
95,Uranus,11,"Your attachments and friendships often form suddenly. You are attracted to people with unusual interests and from different walks in life; you may be involved with the occult. Your ideals and ambitions are not run-of-the-mill, and you are often thought of as a unique personality. Good point: lively and inventive attitude toward achieving goals. Bad point: suffer estrangements from friends, and consequent emotional upsets.","wants everyone included, may be idiosyncratic in groups"
107,Neptune,11,"You are drawn to artistic, sensitive people and are likely to form friendships because of goals you share in common. You are inclined to be an idealistic, compassionate person, concerned with giving help to others. You may join a humanitarian organization or a group with visionary aims. Good point: intuitive to the needs of others. Bad point: you suffer because of unreliable or treacherous friends.",puts the needs of others before self
119,Pluto,11,"You are a strong, vital force in the lives of your friends, and involve yourself deeply with them. You are something of a reformer, and seek to bring about a change for the better in any situation. You feel intensely about your goals and may even have an obsessive personality. Good point: strong loyalty to friends. Bad point: vulnerable to separation or sorrow through death of friends.","has powerful, even intimidating urge to influence others"
12,Sun,12,You like privacy and quiet and the joys of meditation and reflection. You may be reticent or have difficulty expressing yourself and are close to only a few people. Success comes later in life rather than earlier. Good point: a deep spiritual understanding. Bad point: you tend to lead a secluded or lonely life.,"creative focus takes back seat, needs structure"
24,Moon,12,"You are sensitive, receptive, and intuitive toward other people. Too easily hurt, you hide your real feelings. Often you need to get away to restore yourself, think, and meditate. Good point: a creative imagination. Bad point: often insecure; possible disappointment comes through mother or family.","devoted carer in institutions, difficult-to-fathom private passions"
36,Mercury,12,"You tend to be a contemplative, self-absorbed, insightful thinker who works things out for yourself, alone or in secret. You worry over trifles and inconsequentials, and may be very shy. Good point: an instinctive researcher or investigator. Bad point: vulnerable to slander.","imaginative, makes secret arrangements and reports"
48,Venus,12,"Emotional and sensitive, you are capable of giving true and selfless love. You are most content when leading a private and secluded life. There is the possibility of a secret love affair. Good point: artistic and creative urges. Bad point: danger of an unhappy marriage or sexual alliance.","deeply lovable, may be lost in what is loved"
60,Mars,12,You keep your deep and vehement feelings secret from the world. You have strong intuitive powers that can be used to advantage in personal relationships. Your sexual nature is intense but repressed. Good point: active imagination. Bad point: danger from secret enemies.,"powerfully self-reliant, not always to own or others’ benefit"
72,Jupiter,12,"You lean toward the spiritual or have an uplifting religious or philosophical faith. Your success in work helps or benefits others, and you are most attracted to medicine or social work. You also have a gift for producing inspired thoughts in seclusion. Good point: a compassionate and charitable nature. Bad point: impractical; you rely on others too much.",internally committed to spiritual idealism
84,Saturn,12,"You are reserved, somewhat solitary or reclusive. You place limitations on yourself because of cautiousness or fear. You find it hard to share your feelings with others and may carry a secret sorrow with you. Good point: successful when working alone and in seclusion. Bad point: possibility of loneliness or isolation later in life.",realist at heart but may keep problems hidden
96,Uranus,12,"You are very intuitive, perhaps psychic, and are attracted to unusual beliefs in religion or metaphysics. Your need to be independent in thought fights against limitations placed on you by others. During one period in your life you may spend time alone in foreign countries or strange places. Good point: you are humanitarian and compassionate. Bad point: sudden upheavals or unexpected confinements.","inner rebelliousness seeks and outlet, causing instability"
108,Neptune,12,You are deep and sensitive and likely to possess a strong artistic bent. You prefer to work and live in a quiet atmosphere where you can create or meditate. There may be a mysterious or otherworldly quality to your personality. Good point: kind and helpful toward others. Bad point: afraid of life or harsh experiences.,amazing visualizations may be lost in a hidden inner world
120,Pluto,12,"You have a compelling desire to understand, to see deeply into philosophical questions. There may be a secret sex involvement in your life. You are a private person and do not share your emotions easily. Good point: profound imagination. Bad point: may hide feelings of anger or resentment.",May master or live with inner demons - or be broken by them
