id,planet,sign,interpretation_long,interpretation_short,keywords,
91,Uranus,Libra,"Independence versus togetherness is a dilemma; you want both, and with effort you can find a successful compromise to satisfy these dual needs. Some close relationships are unstable or unusual, and you have many friends and acquaintances who move in and out of your life. Uranus in Libra, the sign of close relationships, reflects changes in existing ideas about marriage and partnership. Laws defining legal partnership may change during this period.",,,
96,Uranus,Pisces,"You’re idealistic, caring, and sympathetic, and wish you could change the world. You may become involved in charitable groups and endeavors, and creativity and an active sixth sense could help you focus your life direction into worthy efforts. Inspiration, when balanced with reality, yields success. Uranus in Pisces reflects new insights into spiritual matters and increased interest in the environment and helping those in need. The petroleum and music industries undergo significant changes during this period. A tougher stance on substance abuse also is possible.",,,
93,Uranus,Sagittarius,"Everything that is new and different attracts you, and your curious mind searches for and quickly absorbs information. Travel and adventure excite you. Leadership potential and progressive ideas further your aims, as does higher education. New thinking, concepts, and ideas accent changes in higher education and organized religion during this period. There also may be technological advances involving travel.",,,
92,Uranus,Scorpio,"You equate power with freedom and initiate change to achieve your goals. Friendships are deep, emotions intense, and determination unwavering. You may periodically reinvent yourself, changing life direction and physical characteristics. Willpower is strong. Technological advances and breakthroughs in reproductive science are likely during this period, including new methods to handle infertility problems and sexual disorders. Significant changes in matters having to do with death and taxes are possible.",,,
86,Uranus,Taurus,"Concrete results are your goal, and you achieve them through innovative yet practical ideas and solutions. Determination is a strength, but resistance to change can undermine your efforts. Tap into trends and take an occasional well-calculated risk. Uranus in Taurus accents changes in financial structures and security and more concern and interest in material values, which also evolve. It may be difficult to acquire certain goods during this period.",,,
90,Uranus,Virgo,"You’re prone to changes in employment, whether by choice or circumstance. You also can be an innovator in the workplace, with a wealth of practical yet imaginative ideas and methods. If there’s an easier, simpler way, you can find it. Healing and nutrition may be of interest. The period when Uranus is in Virgo accents changes in matters related to health care and the agricultural industries, and in the work environment, such as an increase in telecommuting.",,,
47,Venus,Aquarius,"You’re friendly but aloof, distant but interested in people and human nature, and your intriguing aura attracts much interest. Friendship is a constant in your life, and your ideal mate is also your best friend. Your attitude about relationships is undoubtedly unconventional in some way. Even a mildly possessive mate is not for you; you need to be free to explore your own interests. You have a good understanding of finances but are erratic in spending and saving, flipping from the urge to splurge to stingy. Strive for more stability in this area.",,,
37,Venus,Aries,"Venus loves innocently and impulsively. Venus's main need is to experience and express appreciation, to satisfy and feel satisfied, to comfort and be comforted. It is detrimental in Mars-ruled Aries, for while Mars will excite with seductive possibilities, it can also overwhelm and threaten all that is most beautiful. Venus here is prone to infatuation and the temptation to follow too readily. At the other extreme, it can feel ignored or even brutalized",,,
40,Venus,Cancer,"Ultrasensitive in love, your feelings run deep and are easily hurt. Relationships can be affected by your periodic moodiness. You love with all your heart, and if a relationship feels right, you move ahead; if not, you don’t. A desire for security motivates you, and you want a comfortable home and loving partner and family. But a tendency to “mother” everyone close to you can undermine the very security you want to achieve, because you end up smothering people and thus push them away Generally lucky in money matters, people with Venus in Cancer often amass sizable resources through savings, investments, and home ownership.",,,
46,Venus,Capricorn,"You’re cautious in matters of the heart, not only because that’s your nature but also as a result of experience. Only when you feel totally secure do you risk making your affections known. Always the epitome of decorum in public, you express your highly sensual nature in private. Some people with Venus in Capricorn form a partnership for status or financial reasons, or choose a mate who is much younger or older. You’re financially conservative, thrifty, and conscientious. (Security issues prompt some to be stingy and cheap.) You’re a hard worker, and your ambitions can yield significant monetary rewards, but you sometimes spend to “prove” your success.",,,
39,Venus,Gemini,"Variety excites you and keeps boredom at bay. This can lead to multiple partners as the desire for someone new takes hold. But many people with Venus in Gemini remain with a single mate who’s a best friend and intellectually stimulating, both of which you need for lasting love. You enjoy an active social life, and your charming, witty, flirtatious nature adds to your popularity. Free spending can deplete resources at times, although you have above-average earning potential and may have two income sources. Financial luck manifests as bargains.",,,
41,Venus,Leo,"Warm, outgoing, and affectionate, you have a star-studded presence that makes you the center of attention more often than not. The social scene excites you, and you like to entertain friends in grand, dramatic style. In love, you’re passionate and loyal, a true romantic who spares no expense. You have the desire and determination to earn a high salary that can fund your taste for luxury. Money matters usually go your way, although caution and common sense are advisable when other people and debt are involved. Put your ego on hold; live within a budget.",,,
43,Venus,Libra,"You feel incomplete without a mate. As a partner, you’re loving and romantic, yet the strong urge for commitment can cause you to mistake infatuation for love. Go slowly and be sure before you commit. You also have an instinctive understanding of people, a sixth sense that gives you profound insight into human nature. That’s a talent that fits well with your emphasis on tact and cooperation; you dislike controversy. A comfortable lifestyle is important to you, and you’ll spend to satisfy your taste for quality and the finer things in life. You also have good financial sense and an eye for bargains.",,,
48,Venus,Pisces,Venus in Pisces: [Add your interpretation here],,,
45,Venus,Sagittarius,"You’re sociable, friendly, and outgoing, and you approach love and romance with the same easy-come, easy-go attitude that may govern much of your life. Any relationship that might limit your freedom is one you quickly walk away from. Strongly independent people with Venus in Sagittarius often choose to remain single or delay commitment until later in life. Then, mental rapport is a must. Generally unconcerned about money matters, you feel you’ll always have what you need. That’s true to some extent, but even your innate luck can be fickle at times. Save for lean periods; be cautious of debt.",,,
44,Venus,Scorpio,"Only someone with Venus in Scorpio can fully appreciate and understand your emotional depth and sensitivity. They are hidden behind a deceptively calm mask of mystery that reveals little of your true feelings, which are never ambivalent. You’re protective of those you love, and insecurity (real or imagined) can spark possessiveness and jealousy that undermine the foundation of a relationship. As a result, your relationships range from stormy to serene, and you have a long memory. You’re financially shrewd and know how to make and manage money. Earnings expectations are high, and you usually meet or exceed your goals.",,,
38,Venus,Taurus,"Warm and loving, you’re an affectionate partner who’s a true romantic. Love and commitment are high on your life priority list, and faith and trust contribute to a lasting partnership. Creature comforts, including gourmet food and a beautiful home, are vital to your well-being, as are financial and material security. You’re a hard worker with high earning potential. You’re also thrifty and expect good value for dollars spent. If the price is too high, you bargain or walk away. Some people with Venus in Taurus are hoarders.",,,
42,Venus,Virgo,"You’re choosy and idealistic in love and romance and expect a partner to live up to your high ideals and expectations. That’s unrealistic and one reason why some people with Venus in Virgo remain single. With the right mate, however, you’re sensual, caring, and supportive. But you can overdo it and become an enabler in the process. Focus on 50–50, and let your partner share the responsibilities of commitment. Emotionally, you think how you feel and feel how you think. Usually thrifty and practical, you occasionally will splurge, especially on loved ones. Your earning potential is above average, although credit encourages impulsive buys.",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,, ,,,
